num,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties+,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength+,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
5412,5902,0,69,84,67,55,70,22,65,77,89,69,70,70,60,58,68,67,45,36,63,39,51,70,72,74,68,68,66,20,62,15,17,22,76,78,67,39,0,2,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5413,5902,0,69,87,65,62,71,40,49,90,85,63,67,71,59,64,59,63,66,43,63,55,65,73,78,81,64,66,67,42,63,49,25,26,73,62,36,57,0,3,4,0,0,0,0,33,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5414,5902,0,69,77,61,61,74,29,50,86,69,64,63,60,60,48,51,60,63,58,63,56,68,75,84,81,62,72,66,38,44,22,27,26,57,68,47,32,0,4,4,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5415,5902,0,69,73,52,64,66,64,72,74,73,61,46,61,57,38,47,63,68,63,64,61,66,66,72,69,65,65,62,65,55,65,66,65,73,81,71,61,0,2,2,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5416,5902,0,69,73,63,65,72,65,65,74,72,67,65,65,60,55,54,67,68,63,67,53,59,72,78,77,62,72,60,64,54,67,67,66,68,68,65,61,0,3,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5417,5902,0,69,77,48,65,70,62,63,76,77,58,42,62,47,42,38,61,69,59,65,64,65,71,72,71,63,72,55,64,44,60,66,67,60,70,59,67,0,3,2,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5418,5902,0,69,76,59,66,74,30,48,77,75,64,58,60,59,57,54,65,65,59,69,68,62,73,86,87,67,72,69,35,43,22,31,28,48,66,38,50,0,3,4,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5419,5902,0,69,71,70,47,65,23,67,69,73,73,74,68,64,57,70,45,38,41,57,36,50,61,72,72,64,67,65,18,72,18,20,12,77,82,69,43,0,4,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5420,5902,0,69,83,64,64,71,53,66,84,83,65,60,72,67,63,54,62,67,66,65,60,70,70,85,85,60,68,70,53,55,48,56,52,71,73,58,75,0,2,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5421,5902,0,69,43,30,44,46,68,79,36,48,30,27,41,26,28,34,31,31,26,60,54,29,37,32,37,64,60,60,65,71,67,71,67,74,80,83,70,0,3,2,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5422,5902,0,69,71,63,69,73,52,70,76,67,71,65,63,62,57,55,70,67,69,70,66,69,73,75,74,70,72,69,58,56,45,54,48,83,77,72,52,0,3,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5423,5902,0,69,85,63,63,72,44,50,89,82,63,65,63,62,58,55,66,62,55,65,58,60,70,90,84,63,68,65,42,33,44,49,40,54,71,45,37,0,3,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5424,5902,0,69,68,32,55,60,69,78,71,66,51,30,32,32,25,39,47,54,30,63,61,46,56,63,67,68,61,59,68,69,70,68,66,89,81,78,71,0,3,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5425,5902,0,69,84,64,67,74,31,57,82,86,57,62,70,66,59,56,65,66,60,68,67,73,72,90,90,57,73,60,30,40,27,34,26,54,80,45,58,0,4,4,0,0,0,0,21,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5426,5902,0,69,55,33,51,51,68,69,55,55,32,26,56,24,32,42,35,49,32,62,57,42,41,61,55,65,60,55,66,69,66,70,69,76,42,81,70,0,2,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5427,5902,0,69,66,53,65,67,68,71,68,65,63,53,58,52,35,54,69,54,56,72,69,43,63,72,75,71,71,66,71,59,68,69,64,71,77,72,60,0,3,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5428,5902,0,69,74,63,69,71,54,63,71,77,72,60,70,61,57,68,70,66,57,73,71,59,73,62,60,65,74,69,56,52,49,59,54,67,60,67,54,0,3,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5429,5902,0,69,65,46,51,53,69,71,52,75,30,48,56,36,36,45,48,42,26,60,64,30,48,50,46,65,58,67,70,68,73,68,62,73,56,79,71,0,3,2,0,0,0,0,35,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5430,5902,0,69,70,68,67,67,63,78,66,74,66,63,77,71,73,53,68,65,57,69,69,56,67,62,65,68,68,66,64,58,62,66,63,73,87,76,72,0,2,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5431,5902,0,69,63,41,47,49,69,73,61,64,32,29,65,48,41,41,42,31,37,58,56,30,44,54,59,69,49,58,71,65,69,71,67,75,67,77,72,0,3,2,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5432,5902,0,69,76,56,60,74,33,54,84,70,66,60,54,49,46,47,65,65,36,64,48,49,74,82,88,66,72,65,27,27,35,36,31,57,60,56,41,0,3,3,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5433,5902,0,69,56,73,60,67,24,70,52,59,72,72,77,71,73,66,57,62,65,62,48,71,66,65,58,69,70,71,16,68,25,16,12,71,65,75,65,0,3,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5434,5902,0,69,72,43,59,66,65,69,73,72,66,45,37,35,35,68,53,67,27,62,60,50,65,61,70,65,69,58,62,65,59,70,69,74,75,67,65,0,2,2,0,0,0,0,31,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5435,5902,0,69,76,70,66,71,46,68,78,75,69,68,75,68,69,72,67,65,63,67,64,70,70,76,75,66,70,68,46,42,45,48,45,63,81,66,58,0,3,3,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5436,5902,0,69,89,61,64,72,40,61,92,87,58,62,62,63,57,43,63,66,54,64,59,79,71,88,87,60,69,67,44,50,34,40,39,70,72,55,61,0,3,4,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5437,5902,0,69,68,66,62,71,61,69,69,68,76,68,65,64,62,58,67,54,46,66,67,56,68,77,82,75,72,66,57,77,62,59,57,79,83,62,67,0,4,3,0,0,0,0,20,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5438,5902,0,69,68,68,62,68,31,63,65,70,75,75,60,58,61,69,65,60,35,66,65,54,68,60,58,73,70,70,22,78,28,25,27,77,65,61,62,0,3,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5439,5902,0,69,81,61,65,70,63,74,82,80,63,63,67,56,37,62,68,56,52,73,66,43,70,72,72,61,72,58,60,58,62,67,68,79,82,74,65,0,3,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5440,5902,0,69,40,29,50,50,68,77,47,34,25,27,34,28,27,38,38,31,32,68,60,33,43,34,43,60,62,65,65,71,65,71,67,77,66,84,74,0,2,2,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5441,5902,0,69,74,58,64,64,65,80,72,75,58,55,73,51,37,70,58,67,68,66,62,60,60,78,74,65,62,67,62,61,66,68,64,81,82,82,74,0,3,2,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5442,5902,0,69,82,68,62,73,31,59,83,81,64,67,75,68,50,61,58,62,62,64,61,63,72,85,73,70,71,63,24,50,27,31,36,70,58,61,50,0,3,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5443,5902,0,69,67,68,60,70,28,61,64,70,71,72,68,58,66,68,56,57,48,68,58,54,71,68,70,65,70,65,28,66,19,27,21,70,52,66,57,0,3,3,0,0,0,0,20,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5444,5902,0,69,68,59,63,69,65,73,72,65,69,56,62,63,52,61,68,59,61,63,64,63,67,80,82,73,67,66,70,46,65,67,65,64,85,67,75,0,2,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5445,5902,0,69,60,66,70,68,55,64,64,57,71,66,68,64,67,51,70,68,68,70,71,69,68,70,67,71,69,65,64,39,46,64,50,54,80,60,54,0,3,3,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5446,5902,0,69,71,45,62,63,65,70,70,72,50,41,57,45,39,43,60,60,59,65,63,52,60,63,68,65,67,60,65,61,63,68,66,71,77,68,66,0,2,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5447,5902,0,69,75,56,66,67,64,75,79,72,66,51,64,58,54,51,65,70,49,67,65,59,67,71,69,69,65,67,68,49,63,67,64,69,94,69,68,0,3,3,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5448,5902,0,69,74,58,62,68,67,70,77,71,61,62,62,51,42,49,59,64,47,66,63,52,69,69,66,69,67,62,68,55,67,69,68,75,65,72,72,0,4,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5449,5902,0,69,82,60,64,71,65,76,81,82,62,56,64,67,52,48,66,54,51,70,68,50,69,82,85,68,68,65,66,44,65,70,66,65,92,66,86,0,3,3,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5450,5902,0,69,44,34,44,49,69,79,36,50,30,31,45,32,30,39,38,25,35,59,46,42,42,47,32,65,58,54,67,68,69,70,66,72,66,90,70,0,2,2,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5451,5902,0,69,41,26,42,43,71,74,34,47,19,18,46,24,25,37,24,37,22,56,51,27,38,40,42,70,44,62,71,67,73,70,69,69,63,83,64,0,2,2,0,0,0,0,36,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5452,5902,0,69,77,40,57,68,66,64,78,76,66,31,64,29,29,46,56,58,39,63,56,37,67,59,71,68,70,70,69,47,68,68,64,63,77,57,66,0,3,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5453,5902,0,69,75,46,53,63,65,77,72,77,58,38,54,52,48,39,38,62,34,60,50,61,63,52,49,68,66,66,69,59,65,65,64,77,75,77,77,0,3,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5454,5902,0,69,81,61,63,67,62,69,81,81,60,62,64,58,57,63,64,66,43,65,63,62,67,76,72,64,64,67,62,63,61,63,63,74,88,58,73,0,3,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5455,5902,0,69,71,67,58,73,22,60,68,73,70,72,65,60,44,70,69,49,35,64,55,42,76,66,60,69,74,73,16,69,19,17,15,73,60,70,30,0,4,3,0,0,0,0,19,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5456,5902,0,69,56,60,71,69,63,67,63,50,61,56,67,61,62,55,72,70,58,72,70,72,69,66,63,63,73,67,65,49,63,66,60,59,84,61,65,0,4,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5457,5902,0,69,78,60,68,67,62,80,77,78,66,50,76,66,38,68,69,70,73,65,65,80,68,71,61,63,66,62,66,54,63,60,64,79,85,82,69,0,3,2,0,0,0,0,34,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5458,5902,0,69,56,72,49,65,25,66,55,56,70,79,70,62,65,75,53,25,45,61,57,26,66,59,54,63,67,67,22,70,20,19,20,72,46,74,69,0,3,3,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5459,5902,0,69,71,64,67,72,27,66,25,29,6,7,50,18,9,18,34,14,14,28,30,11,8,38,40,63,17,47,15,10,14,10,11,51,23,55,24,0,3,1,0,0,0,0,26,0,0,0,0,0,71,64,67,66,72
5460,5902,0,69,79,68,64,72,32,63,77,80,69,68,72,68,62,61,69,67,55,66,52,57,72,79,68,68,70,68,25,63,42,21,21,75,70,66,46,0,3,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5461,5902,0,69,74,30,38,56,71,74,70,78,43,27,41,23,29,31,39,42,27,38,33,39,53,72,50,62,54,67,81,65,73,63,70,75,73,74,75,0,3,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5462,5902,0,69,53,73,64,67,42,66,52,54,73,72,75,72,73,77,65,64,54,66,61,68,66,66,64,67,69,72,44,73,48,30,21,75,62,73,49,0,4,3,0,0,0,0,35,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5463,5902,0,69,69,54,66,70,68,68,70,68,56,46,65,64,42,57,66,63,48,70,68,58,68,72,72,69,73,71,64,68,69,70,65,76,56,72,73,0,3,2,0,0,0,0,31,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5464,5902,0,69,55,59,57,60,68,75,56,54,34,55,75,56,72,48,54,48,37,65,67,36,54,65,52,66,66,65,68,66,69,68,67,74,66,79,77,0,3,2,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5465,5902,0,69,75,57,65,70,62,71,76,74,68,56,63,56,42,41,67,68,33,68,65,61,68,72,72,66,74,68,65,59,62,63,60,72,84,62,78,0,2,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5466,5902,0,69,72,49,61,67,66,53,72,72,63,47,61,42,36,50,57,73,62,61,48,60,66,72,75,65,67,52,71,45,64,71,66,50,70,42,62,0,2,2,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5467,5902,0,69,59,29,50,48,68,79,60,59,38,23,40,28,21,36,38,44,29,64,53,38,40,37,51,60,59,63,65,70,69,71,61,80,69,87,69,0,2,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5468,5902,0,69,71,53,65,65,65,66,70,72,63,50,56,55,53,49,60,67,35,70,65,63,64,70,66,65,65,57,64,59,65,68,65,68,76,63,59,0,2,2,0,0,0,0,22,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5469,5902,0,69,50,32,60,61,69,74,54,47,50,24,52,24,35,35,52,59,34,68,65,54,61,54,49,70,61,70,70,70,70,68,68,72,72,75,75,0,3,2,0,0,0,0,31,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5470,5902,0,69,88,63,65,70,22,57,85,90,59,66,63,62,60,52,62,67,67,67,63,66,71,81,76,58,67,59,20,41,18,21,22,62,69,59,36,0,3,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5471,5902,0,69,63,38,52,57,68,80,53,71,43,33,48,36,42,49,40,52,37,60,55,44,50,70,64,63,62,55,68,73,64,71,65,80,86,82,65,0,2,2,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5472,5902,0,69,43,29,45,45,68,67,37,48,21,26,45,22,30,34,27,26,21,67,58,24,32,35,30,67,65,57,72,70,64,67,69,70,33,82,69,0,3,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5473,5902,0,69,72,63,66,70,63,70,70,73,68,60,71,62,56,55,68,59,57,69,65,68,69,74,71,67,71,66,64,60,61,66,59,69,86,63,67,0,4,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5474,5902,0,69,80,42,61,58,69,75,67,91,59,34,55,41,38,49,59,55,40,68,66,41,55,63,47,59,61,64,66,68,70,72,65,80,75,82,56,0,3,2,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5475,5902,0,69,67,47,59,62,65,75,67,67,57,38,61,53,43,50,65,40,38,69,66,42,57,67,74,66,66,61,72,56,64,67,61,71,88,75,59,0,3,2,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5476,5902,0,69,87,64,54,73,33,71,91,83,69,68,63,63,52,49,54,58,40,57,48,58,72,90,89,65,69,58,36,44,34,28,28,72,78,71,62,0,4,3,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5477,5902,0,69,74,71,59,71,28,58,75,74,70,74,69,69,71,70,63,54,52,66,49,57,73,67,71,64,70,66,23,60,24,27,20,74,59,68,30,0,5,3,0,0,0,0,22,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5478,5902,0,69,65,54,67,67,64,63,70,61,60,51,62,52,50,47,67,61,56,71,72,60,64,74,76,69,67,65,66,48,69,64,62,59,76,58,62,0,3,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5479,5902,0,69,67,71,65,68,51,70,52,50,13,15,49,12,8,16,45,12,16,24,25,19,10,36,42,66,23,51,12,12,13,13,20,62,28,59,16,0,2,1,0,0,0,0,31,0,0,0,0,0,67,71,65,70,68
5480,5902,0,69,73,47,59,68,65,60,71,75,59,46,56,41,36,46,48,64,45,66,56,59,68,72,70,63,69,64,68,48,67,65,67,61,69,59,53,0,2,3,0,0,0,0,25,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5481,5902,0,69,69,67,66,70,30,70,31,29,8,10,50,11,12,17,68,14,11,28,46,14,17,26,24,60,23,31,10,17,24,13,12,58,24,60,25,0,2,1,0,0,0,0,24,0,0,0,0,0,69,67,66,70,70
5482,5902,0,69,65,68,70,70,65,65,70,61,72,68,72,65,68,66,71,72,75,68,66,73,67,77,74,74,70,73,69,65,59,67,64,70,74,63,58,0,3,3,0,0,0,0,33,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5483,5902,0,69,71,59,63,66,65,73,74,69,59,56,64,61,51,60,61,63,50,68,62,59,63,82,78,67,64,63,63,61,66,67,66,77,74,73,72,0,4,2,0,0,0,0,36,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5484,5902,0,69,66,66,69,69,67,65,64,67,68,59,82,69,58,58,68,73,76,67,68,73,68,73,69,64,69,66,67,62,66,68,67,68,68,63,63,0,4,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5485,5902,0,69,79,43,60,67,64,72,78,79,57,38,59,40,33,39,58,61,33,65,60,47,65,74,74,66,66,67,66,58,64,64,65,76,76,71,68,0,3,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5486,5902,0,69,41,43,66,65,65,68,51,33,53,35,51,46,48,48,70,55,44,73,68,52,63,53,61,67,70,73,68,48,71,65,60,60,69,74,55,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5487,5902,0,69,69,69,69,70,25,68,25,26,8,8,52,9,7,18,33,14,12,16,17,11,6,38,35,62,17,40,11,13,12,12,11,52,31,55,15,0,3,1,0,0,0,0,27,0,0,0,0,0,69,69,69,68,70
5488,5902,0,69,69,67,62,72,24,57,72,67,65,68,71,70,47,54,67,62,47,64,60,42,72,70,86,65,74,66,23,41,24,21,20,52,70,50,60,0,3,3,0,0,0,0,22,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5489,5902,0,69,64,33,51,49,69,70,60,68,30,22,65,24,33,46,48,33,37,67,50,45,30,59,53,68,68,58,69,68,70,69,68,73,62,74,70,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5490,5902,0,69,82,61,63,66,62,69,84,80,63,63,65,58,48,45,64,65,43,66,62,57,65,80,65,66,65,62,63,61,62,63,61,77,81,64,65,0,3,3,0,0,0,0,23,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5491,5902,0,69,31,74,59,62,36,64,30,32,77,78,76,60,77,75,63,58,52,63,45,73,63,30,28,59,75,76,35,78,35,25,31,66,30,80,66,0,3,3,0,0,0,0,43,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5492,5902,0,69,78,68,61,71,30,52,75,80,67,66,70,72,65,65,70,46,71,68,45,70,72,78,64,65,72,60,24,39,33,26,32,60,33,66,40,0,4,4,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5493,5902,0,69,53,70,61,65,31,75,54,53,72,72,76,62,67,69,68,56,55,64,55,55,64,60,63,67,67,72,33,72,32,19,23,80,55,84,76,0,2,3,0,0,0,0,33,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5494,5902,0,69,74,61,62,68,67,67,72,75,66,55,68,65,60,66,61,60,72,61,60,67,70,68,76,65,67,59,72,55,66,68,66,69,72,64,68,0,3,3,0,0,0,0,31,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5495,5902,0,69,57,43,47,57,68,74,52,61,34,46,47,31,43,48,30,33,31,64,56,37,55,52,53,66,60,63,65,70,66,69,70,73,68,76,75,0,2,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5496,5902,0,69,64,63,69,69,64,73,66,63,60,58,72,72,52,49,68,68,68,70,68,69,68,77,71,67,69,71,71,66,59,63,61,74,77,72,71,0,4,3,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5497,5902,0,69,51,49,61,62,64,81,54,49,60,46,60,47,32,55,66,50,39,69,66,31,63,50,55,69,66,59,65,63,59,70,60,75,85,85,66,0,3,2,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5498,5902,0,69,75,58,63,78,47,52,81,70,63,64,48,55,61,45,65,61,56,64,59,68,77,90,93,61,78,72,53,36,49,45,41,53,74,48,35,0,2,4,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5499,5902,0,69,72,66,66,71,63,72,72,72,65,62,75,70,60,58,70,56,65,68,67,64,71,74,71,75,70,72,66,58,68,60,51,70,80,66,76,0,3,3,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5500,5902,0,69,78,63,65,72,37,60,80,77,67,64,70,58,54,60,67,64,55,68,59,65,73,75,76,60,70,70,28,46,37,42,35,66,61,62,51,0,3,3,0,0,0,0,22,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5501,5902,0,69,63,29,53,53,70,69,62,63,27,23,45,22,33,36,46,42,29,67,63,28,40,64,55,69,66,58,68,67,70,71,69,74,61,75,65,0,3,2,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5502,5902,0,69,40,33,51,52,68,73,47,34,27,26,53,30,15,44,41,34,44,67,59,25,48,48,50,65,57,58,66,71,68,70,65,77,55,81,74,0,3,2,0,0,0,0,34,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5503,5902,0,69,70,69,63,71,25,70,23,29,4,8,47,5,9,10,29,11,12,24,17,11,5,32,22,58,12,36,9,12,6,11,14,52,28,58,25,0,2,1,0,0,0,0,22,0,0,0,0,0,70,69,63,70,71
5504,5902,0,69,68,66,62,73,25,66,21,32,7,10,47,14,6,26,32,10,14,25,41,14,12,26,45,66,27,51,10,13,8,12,11,56,17,50,28,0,2,1,0,0,0,0,24,0,0,0,0,0,68,66,62,66,73
5505,5902,0,69,63,71,59,67,24,66,62,63,71,71,76,68,67,71,58,50,62,67,49,65,66,67,65,69,69,65,19,70,22,16,22,71,66,69,57,0,3,3,0,0,0,0,28,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5506,5902,0,69,68,67,67,74,60,61,69,68,58,62,74,72,65,67,68,60,74,70,68,69,73,72,79,69,77,69,62,50,62,60,62,60,68,55,67,0,5,3,0,0,0,0,29,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5507,5902,0,69,77,62,64,68,57,70,82,73,67,62,69,56,53,65,65,71,41,67,59,56,69,73,73,68,67,59,58,51,59,57,52,76,69,74,61,0,3,3,0,0,0,0,31,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5508,5902,0,69,76,66,59,68,29,75,75,77,72,69,71,57,69,52,57,64,39,66,48,59,68,69,67,69,67,63,26,64,29,22,20,79,74,75,74,0,4,3,0,0,0,0,32,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5509,5902,0,69,77,56,70,66,60,71,77,77,63,46,70,65,55,45,66,72,72,70,70,73,63,71,70,67,69,61,62,50,62,59,61,70,86,69,57,0,5,3,0,0,0,0,26,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5510,5902,0,69,77,68,52,67,41,72,85,70,69,70,69,65,60,62,63,30,41,61,53,42,64,76,76,66,68,65,34,70,35,43,36,82,83,69,64,0,4,3,0,0,0,0,30,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5511,5902,0,69,73,39,56,59,69,76,74,72,38,33,48,46,30,39,58,41,50,65,64,32,52,69,80,68,59,65,69,67,68,70,67,80,76,76,75,0,4,2,0,0,0,0,24,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
5512,5902,0,69,73,67,65,67,65,77,74,72,70,69,70,63,69,52,67,61,49,70,67,54,66,68,71,68,69,62,62,80,62,66,60,87,91,72,70,0,3,3,0,0,0,0,27,0,0,0,0,0,65.88294147,63.91445723,63.02151076,64.3931966,66.74537269
